,date,call_arrive_time,agent_id,serve_time,score_call,type_call,score_agent,type_agent
0,11/1/2022,07:03:04,0,34,0.0676999,2,10.71428571,4
1,11/1/2022,07:16:11,1,132,0.1263271,1,25,3
2,11/1/2022,07:17:08,0,119,0.0375381,3,10.71428571,4
3,11/1/2022,07:25:52,1,685,0.1906649,1,25,3
4,11/1/2022,07:27:42,0,369,0.2623895,1,10.71428571,4
5,11/1/2022,07:36:55,0,1791,0.0469392,3,10.71428571,4
6,11/1/2022,07:53:55,2,160,0.0385372,3,29.28571429,2
7,11/1/2022,08:00:33,1,888,0.0544931,3,25,3
8,11/1/2022,08:05:19,3,317,0.0302531,3,17.14285714,4
9,11/1/2022,08:09:17,4,484,0.1672216,1,40,1
10,11/1/2022,08:12:45,3,285,0.0487696,3,17.14285714,4
11,11/1/2022,08:13:44,0,208,0.048471,3,10.71428571,4
12,11/1/2022,08:15:17,5,956,0.0737881,2,30.43478261,3
13,11/1/2022,08:16:35,1,743,0.0302531,3,25,3
14,11/1/2022,08:27:41,4,1435,0.1494765,1,40,1
15,11/1/2022,08:29:10,3,223,0.0672936,2,17.14285714,4
16,11/1/2022,08:29:14,6,116,0.087455,2,17.85714286,3
17,11/1/2022,08:31:24,7,1468,0.0391149,3,22.85714286,3
18,11/1/2022,08:32:04,2,515,0.0302531,3,29.28571429,2
19,11/1/2022,08:33:13,3,74,0.046676,3,17.14285714,4
20,11/1/2022,08:34:50,0,543,0.0497809,3,10.71428571,4
21,11/1/2022,08:35:27,8,718,0.0509379,3,46.42857143,1
22,11/1/2022,08:44:38,5,42,0.0487696,3,30.43478261,3
23,11/1/2022,08:44:53,6,210,0.089684,2,17.85714286,3
24,11/1/2022,08:54:36,8,869,0.2560902,1,46.42857143,1
25,11/1/2022,08:55:27,4,73,0.2126774,1,40,1
26,11/1/2022,08:55:34,2,262,0.0433531,3,29.28571429,2
27,11/1/2022,08:55:56,0,151,0.0587037,2,10.71428571,4
28,11/1/2022,08:56:30,7,1880,0.1106189,2,22.85714286,3
29,11/1/2022,08:57:19,1,512,0.049301,3,25,3
30,11/1/2022,08:57:27,9,929,0.2126774,1,30,2
31,11/1/2022,08:58:18,5,59,0.06417,2,30.43478261,3
32,11/1/2022,09:00:23,6,851,0.186377,1,17.85714286,3
33,11/1/2022,09:00:38,3,466,0.0487696,3,17.14285714,4
34,11/1/2022,09:02:47,4,852,0.1665504,1,40,1
35,11/1/2022,09:06:31,5,226,0.066621,2,30.43478261,3
36,11/1/2022,09:06:34,10,3254,0.1157431,2,24.28571429,3
37,11/1/2022,09:07:10,2,473,0.1473281,1,29.28571429,2
38,11/1/2022,09:08:10,11,594,0.0422342,3,25.71428571,3
39,11/1/2022,09:09:42,0,999,0.1891122,1,10.71428571,4
40,11/1/2022,09:09:59,8,677,0.1507954,1,46.42857143,1
41,11/1/2022,09:13:02,12,690,0.0600646,2,1.851851852,4
42,11/1/2022,09:14:44,9,1001,0.1231176,2,30,2
43,11/1/2022,09:15:24,3,2473,0.1449239,1,17.14285714,4
44,11/1/2022,09:15:56,5,272,0.043969,3,30.43478261,3
45,11/1/2022,09:16:21,13,964,0.1231176,2,15.71428571,4
46,11/1/2022,09:16:54,2,1241,0.0311544,3,29.28571429,2
47,11/1/2022,09:17:30,6,180,0.1967359,1,17.85714286,3
