,date,call_arrive_time,agent_id,serve_time,type_call,type_agent,,,score_call,score_agent
0,11/1/2022,07:00:56,0,919,?,2,,,?,30
1,11/1/2022,07:03:04,1,34,2,4,,,0.0676999,10.71428571
2,11/1/2022,07:06:22,2,381,?,2,,,?,29.72972973
3,11/1/2022,07:14:40,3,486,?,3,,,?,19.28571429
4,11/1/2022,07:16:11,4,132,1,3,,,0.1263271,25
5,11/1/2022,07:17:04,5,2525,?,1,,,?,43.24324324
6,11/1/2022,07:17:08,1,119,3,4,,,0.0375381,10.71428571
7,11/1/2022,07:17:53,6,398,?,2,,,?,30
8,11/1/2022,07:22:37,7,568,?,4,,,?,0
9,11/1/2022,07:25:49,3,198,?,3,,,?,19.28571429
10,11/1/2022,07:25:52,4,685,1,3,,,0.1906649,25
11,11/1/2022,07:26:06,3,572,?,3,,,?,19.28571429
12,11/1/2022,07:26:25,8,40,?,3,,,?,0
13,11/1/2022,07:27:42,1,369,1,4,,,0.2623895,10.71428571
14,11/1/2022,07:36:54,9,565,?,2,,,?,33.33333333
15,11/1/2022,07:36:55,1,1791,3,4,,,0.0469392,10.71428571
16,11/1/2022,07:38:10,7,295,?,4,,,?,0
17,11/1/2022,07:40:08,2,126,?,2,,,?,29.72972973
18,11/1/2022,07:41:15,2,839,?,2,,,?,29.72972973
19,11/1/2022,07:46:45,7,35,?,4,,,?,0
20,11/1/2022,07:47:02,8,612,?,3,,,?,0
21,11/1/2022,07:50:41,7,637,?,4,,,?,0
22,11/1/2022,07:53:55,10,160,3,2,,,0.0385372,29.28571429
23,11/1/2022,07:54:22,9,74,?,2,,,?,33.33333333
24,11/1/2022,07:55:44,11,1818,?,2,,,?,28.57142857
25,11/1/2022,07:56:01,3,1952,?,3,,,?,19.28571429
26,11/1/2022,07:56:09,0,201,?,2,,,?,30
27,11/1/2022,08:00:33,4,888,3,3,,,0.0544931,25
28,11/1/2022,08:00:45,2,628,?,2,,,?,29.72972973
29,11/1/2022,08:00:59,12,284,?,3,,,?,11.36363636
30,11/1/2022,08:01:29,9,82,?,2,,,?,33.33333333
31,11/1/2022,08:04:39,13,154,?,4,,,?,6.818181818
32,11/1/2022,08:04:59,14,1479,?,2,,,?,27.27272727
33,11/1/2022,08:05:19,15,317,3,4,,,0.0302531,17.14285714
34,11/1/2022,08:06:50,16,137,?,2,,,?,40
35,11/1/2022,08:07:38,7,864,?,4,,,?,0
36,11/1/2022,08:08:38,5,1419,?,1,,,?,43.24324324
37,11/1/2022,08:09:06,17,88,?,2,,,?,31.25
38,11/1/2022,08:09:16,18,629,?,3,,,?,23.57142857
39,11/1/2022,08:09:17,19,484,1,1,,,0.1672216,40
40,11/1/2022,08:10:32,20,247,?,3,,,?,25
41,11/1/2022,08:10:32,17,36,?,2,,,?,31.25
42,11/1/2022,08:11:21,21,751,?,2,,,?,15
43,11/1/2022,08:12:45,15,285,3,4,,,0.0487696,17.14285714
44,11/1/2022,08:13:44,1,208,3,4,,,0.048471,10.71428571
45,11/1/2022,08:14:56,2,841,?,2,,,?,29.72972973
46,11/1/2022,08:15:17,22,956,2,3,,,0.0737881,30.43478261
47,11/1/2022,08:15:49,23,216,?,1,,,?,40.54054054
48,11/1/2022,08:16:35,4,743,3,3,,,0.0302531,25
49,11/1/2022,08:16:39,20,50,?,3,,,?,25
50,11/1/2022,08:17:06,12,62,?,3,,,?,11.36363636
51,11/1/2022,08:17:16,24,288,?,3,,,?,18.75
52,11/1/2022,08:17:42,20,365,?,3,,,?,25
53,11/1/2022,08:18:45,0,636,?,2,,,?,30
54,11/1/2022,08:19:30,25,217,?,1,,,?,47.72727273
55,11/1/2022,08:19:33,12,206,?,3,,,?,11.36363636
56,11/1/2022,08:21:16,26,855,?,1,,,?,36.36363636
57,11/1/2022,08:21:33,17,517,?,2,,,?,31.25
58,11/1/2022,08:22:47,27,747,?,3,,,?,20.45454545
59,11/1/2022,08:23:06,28,68,?,1,,,?,40.71428571
60,11/1/2022,08:23:12,13,45,?,4,,,?,6.818181818
61,11/1/2022,08:23:56,25,124,?,1,,,?,47.72727273
62,11/1/2022,08:24:22,24,522,?,3,,,?,18.75
63,11/1/2022,08:25:06,12,598,?,3,,,?,11.36363636
64,11/1/2022,08:25:12,7,1086,?,4,,,?,0
65,11/1/2022,08:25:19,13,127,?,4,,,?,6.818181818
66,11/1/2022,08:26:43,23,153,?,1,,,?,40.54054054
67,11/1/2022,08:27:41,19,1435,1,1,,,0.1494765,40
68,11/1/2022,08:28:02,28,713,?,1,,,?,40.71428571
69,11/1/2022,08:28:41,13,238,?,4,,,?,6.818181818
70,11/1/2022,08:29:00,18,107,?,3,,,?,23.57142857
71,11/1/2022,08:29:10,15,223,2,4,,,0.0672936,17.14285714
72,11/1/2022,08:29:14,29,116,2,3,,,0.087455,17.85714286
73,11/1/2022,08:29:38,23,925,?,1,,,?,40.54054054
74,11/1/2022,08:31:16,30,1494,?,1,,,?,36.42857143
75,11/1/2022,08:31:24,31,1468,3,3,,,0.0391149,22.85714286
76,11/1/2022,08:32:04,10,515,3,2,,,0.0302531,29.28571429
77,11/1/2022,08:32:53,11,277,?,2,,,?,28.57142857
78,11/1/2022,08:32:54,32,532,?,1,,,?,44.28571429
79,11/1/2022,08:33:02,17,73,?,2,,,?,31.25
80,11/1/2022,08:33:13,15,74,3,4,,,0.046676,17.14285714
81,11/1/2022,08:33:22,33,410,?,4,,,?,2.272727273
82,11/1/2022,08:33:35,25,1667,?,1,,,?,47.72727273
83,11/1/2022,08:34:47,14,222,?,2,,,?,27.27272727
84,11/1/2022,08:34:50,1,543,3,4,,,0.0497809,10.71428571
85,11/1/2022,08:35:01,24,145,?,3,,,?,18.75
86,11/1/2022,08:35:27,34,718,3,1,,,0.0509379,46.42857143
87,11/1/2022,08:36:16,35,1358,?,1,,,?,50
88,11/1/2022,08:36:21,17,1079,?,2,,,?,31.25
89,11/1/2022,08:36:43,36,178,?,1,,,?,46.66666667
